Kiosk ID,Kiosk Name,Go Live Date,Region ,Status,Latitude,Longitude
4536,Venice & Abbot Kinney,12/5/2020,Westside,Active,33.989079,-118.462257
4537,Highland & Sunset,9/29/2021,DTLA,Active,34.098228,-118.338821
4538,5th & Western,7/9/2020,DTLA,Active,34.065430,-118.308823
4539,Cherokee & Hollywood,9/30/2021,DTLA,Inactive,34.101761,-118.334740
4540,1st & Utah,9/10/2020,DTLA,Active,34.047760,-118.225410
4541,Glen Alla Park,7/15/2020,Westside,Inactive,33.984852,-118.431641
4542,Concert Park,7/28/2020,Westside,Inactive,33.972980,-118.423943
4543,Toes Beach at Culver Blvd,10/21/2020,Westside,Active,33.957180,-118.451248
4544,Dockweiler Beach at Imperial Hwy,10/21/2020,Westside,Active,33.928459,-118.435204
4545,Vista Del Mar & Culver,10/21/2020,Westside,Active,33.958790,-118.448280
4546,Expo/Bundy E Line Station,11/23/2020,Westside,Active,34.031399,-118.453629
4547,Stanford & Washington,3/3/2021,Westside,Active,33.989700,-118.448883
4548,Durango & Venice,2/3/2021,Westside,Active,34.026829,-118.393517
4549,Barrington & National,12/9/2020,Westside,Active,34.022449,-118.438332
4552,Culver & Centinela,7/16/2021,Westside,Active,33.990971,-118.421303
4553,Venice & Beethoven,1/12/2021,Westside,Active,33.999580,-118.441360
4554,Venice & Colonial,12/19/2020,Westside,Active,34.003510,-118.434380
4555,Venice & Inglewood,12/1/2020,Westside,Active,34.005871,-118.429161
4556,McLaughlin & Venice,12/18/2020,Westside,Active,34.009022,-118.425011
4557,Venice & Sawtelle,12/3/2020,Westside,Active,34.011799,-118.419441
4558,Bagley & Venice,10/21/2020,Westside,Active,34.025688,-118.395302
4559,Palms & Kelton,11/26/2020,Westside,Inactive,34.022282,-118.415833
4560,Sepulveda & Charnock,12/28/2020,Westside,Inactive,34.017368,-118.420601
4561,Sepulveda & Palms,1/12/2021,Westside,Active,34.020061,-118.422684
4562,Sepulveda & National,1/14/2021,Westside,Active,34.026970,-118.428207
4563,Venice & Glendon,10/21/2020,Westside,Active,34.017448,-118.409569
4564,Expo/Sepulveda E Line Station,11/22/2020,Westside,Active,34.035351,-118.434143
4565,Alla & Maxella,3/18/2021,Westside,Active,33.989948,-118.434669
4566,Venice & Hughes,12/2/2020,Westside,Active,34.023392,-118.399223
4567,Venice & Motor,11/25/2020,Westside,Active,34.020180,-118.404030
4568,Palms E Line Station,10/21/2020,Westside,Active,34.029121,-118.403168
4569,Palms & Motor,12/2/2020,Westside,Active,34.026550,-118.408463
4570,Sepulveda & Venice,12/1/2020,Westside,Active,34.013760,-118.417801
4571,Rose & Overland,11/20/2020,Westside,Active,34.027649,-118.413559
4572,National & Motor,11/21/2020,Westside,Active,34.029480,-118.410469
4573,Westwood & National,11/29/2020,Westside,Active,34.030472,-118.420982
4575,Lucerne & Sepulveda,3/17/2021,Westside,Active,34.000309,-118.402527
4576,Motor & Regent,4/23/2021,Westside,Active,34.022579,-118.405510
4577,Inglewood & Braddock,12/9/2020,Westside,Active,33.993019,-118.414909
4578,Main & 8th,6/30/2021,DTLA,Active,34.042980,-118.252953
4579,Alla & Glencoe,4/15/2021,Westside,Active,33.984859,-118.431129
4580,Centinela & Lucile,11/27/2020,Westside,Active,33.982922,-118.410927
4581,Playa Vista Library,2/2/2021,Westside,Active,33.970242,-118.426071
4582,Westlawn & Beatrice,11/17/2020,Westside,Inactive,33.980991,-118.414879
4583,McConnell & Runway,11/16/2020,Westside,Active,33.976189,-118.418419
4584,Fountain & Vine,10/6/2021,DTLA,Active,34.094349,-118.326363
4587,Wiltern,4/22/2021,DTLA,Active,34.060791,-118.309067
4592,CicLAvia–Heart of LA presented by Metro,10/10/2021,DTLA,Inactive,34.048721,-118.260727
4593,CicLAvia South LA - Crenshaw Hub,12/5/2021,DTLA,Inactive,34.020969,-118.335197
4594,CicLAvia South LA - Expo Park Hub,12/5/2021,DTLA,Inactive,34.025890,-118.238220
4595,Chandler & Colfax,3/4/2022,North Hollywood,Active,34.168350,-118.387497
4596,Chandler & Laurel Canyon,3/4/2022,North Hollywood,Active,34.168331,-118.396156
4597,Magnolia & Clybourn,3/4/2022,North Hollywood,Active,34.165218,-118.355148
4598,North Hollywood Plaza,3/4/2022,North Hollywood,Active,34.165520,-118.375153
4599,Chandler & Cahuenga,3/4/2022,North Hollywood,Active,34.168751,-118.361870
4600,Lankershim & Califa,3/4/2022,North Hollywood,Active,34.177650,-118.382309
4601,Lankershim & Hesby,3/4/2022,North Hollywood,Active,34.161709,-118.372818
4602,Magnolia & Cartwright,3/4/2022,North Hollywood,Inactive,34.164951,-118.363632
4603,Riverside & Cahuenga,3/4/2022,North Hollywood,Active,34.152142,-118.361954
4604,Lankershim & Vineland,3/4/2022,North Hollywood,Active,34.158321,-118.370811
4605,Mariota & Riverside,3/4/2022,North Hollywood,Active,34.152000,-118.350601
4606,North Hollywood Station,3/4/2022,North Hollywood,Active,34.168629,-118.377068
4613,Gateway Plaza,2/9/2022,Westside,Active,34.069752,-118.445351
4614,Perloff Hall,2/23/2022,Westside,Active,34.073650,-118.439842
4514,Purdue & Santa Monica,8/18/2022,Westside,Active,34.046211,-118.451172
4623,CicLAvia South LA – Exposition Hub,7/10/2022,DTLA,Inactive,34.017891,-118.308853
4624,CicLAvia South LA – Florence Hub,7/10/2022,DTLA,Inactive,33.975029,-118.308937
4625,CicLAvia South LA – Exposition Hub,7/10/2022,DTLA,Inactive,34.017891,-118.308853
4626,CicLAvia South LA – Florence Hub,7/10/2022,DTLA,Inactive,33.975029,-118.308937
4627,Argyle & Hollywood,7/13/2022,DTLA,Active,34.101849,-118.325142
4629,CicLavia West Hollywood Hub,8/21/2022,DTLA,Inactive,34.085770,-118.382599
4631,CicLavia West Hollywood Hub,8/21/2022,DTLA,Inactive,34.085770,-118.382607
4632,Maxella & Glencoe,9/14/2022,Westside,Active,33.986671,-118.440948
4244,Expo Park/USC Station,6/27/2018,DTLA,Inactive,34.018059,-118.286728
4628,7th & Westmoreland,10/19/2022,DTLA,Active,34.059780,-118.288544
4633,CicLAvia - Echo Park Hub,10/9/2022,DTLA,Inactive,34.069981,-118.260094
4634,CicLAvia - Mariachi Plaza Hub,10/9/2022,DTLA,Inactive,34.047119,-118.218910
4638,CicLAvia South LA - Historic South-Central Hub,12/4/2022,DTLA,Inactive,34.004650,-118.255928
4635,CicLAvia - Echo Park Hub,10/9/2022,DTLA,Inactive,34.025791,-118.238068
4636,CicLAvia - Mariachi Plaza Hub,10/9/2022,DTLA,Inactive,34.025742,-118.238068
4639,CicLAvia South LA - Watts Hub,12/4/2022,DTLA,Inactive,33.943359,-118.248238
4643,Drake Stadium,2/16/2023,Westside,Active,34.072620,-118.449440
4644,Weyburn Terrace,2/19/2023,Westside,Active,34.061859,-118.450020
4645,University Village (Sawtelle Blvd),3/16/2023,Westside,Active,34.023411,-118.429008
4646,CicLavia Mid City Hub,4/16/2023,DTLA,Inactive,34.040161,-118.345009
4647,CicLavia Pico Union Hub,4/16/2023,DTLA,Inactive,34.043770,-118.285721
4648,CicLAvia Mid City Hub,4/16/2023,DTLA,Inactive,34.040619,-118.344971
4649,CicLavia Pico Union Hub,4/16/2023,DTLA,Inactive,34.044071,118.285698
4650,CicLAmini Watts,5/21/2023,DTLA,Inactive,33.943508,-118.262680
4651,CicLAmini Watts,5/21/2023,DTLA,Inactive,33.943508,-118.262680
4652,Arizona Ave & 16th St,5/31/2023,Westside,Active,34.027050,-118.485184
4654,Culver City Pride Ride,6/3/2023,Westside,Inactive,34.027988,-118.377937
4655,CicLAvia South LA - Westmont Hub,6/18/2023,DTLA,Inactive,33.958462,-118.292000
4656,CicLAvia South LA - Westmont Hub,6/18/2023,DTLA,Inactive,33.958462,-118.292000
4660,Venice & Walgrove,9/13/2023,Westside,Active,33.997238,-118.446732
4661,CicLAvia South LA - Historic South Central,12/23/2023,DTLA,Inactive,34.023399,-118.251671
4662,CicLAvia South LA - Leimert Park,12/23/2023,DTLA,Inactive,34.003841,-118.331871
4663,CicLAvia South LA - Historic South Central,12/23/2023,DTLA,Inactive,34.023399,-118.251671
4664,Koreatown Plaza,1/3/2024,DTLA,Active,34.055161,-118.30899
4665,Gateway Plaza,1/4/2024,Westside,Active,34.069752,-118.445351
4667,Ciclavia Melrose - Fairfax Hub,2/25/2024,Westside,Inactive,34.083939,-118.361031
4668,Ciclavia Melrose - Fairfax Hub,2/25/2024,Westside,Inactive,34.083939,-118.361031
4669,Broadway & 7th,4/11/2024,DTLA,Inactive,34.045010,-118.253693
4670,CicLAvia Venice - National,4/21/2024,Westside,Inactive,34.028740,-118.388931
4671,CicLAvia Venice - National,4/21/2024,Westside,Inactive,34.028702,-118.388962
4672,7th & Broadway,5/23/2024,DTLA,Active,34.045021,-118.253189
4675,CicLAvia South LA - Century Hub,6/23/2024,DTLA,Inactive,33.945961,-118.308952
4676,CicLAvia South LA – Century Hub,6/23/2024,DTLA,Inactive,33.945961,-118.308952
4678,CicLAvia South LA - Exposition Hub,6/23/2024,DTLA,Inactive,34.017971,-118.308853
4680,Broadway & 8th,7/10/2024,DTLA,Active,34.043522,-118.255089
4682,CicLAvia Meet the Hollywood's - West Hollywood Hub,8/18/2024,N/A,Active,34.08564,-118.38279
4684,CicLAmini Lincoln Heights Ave 18 Hub,9/15/2024,DTLA,Inactive,34.071991,-118.222031
4686,Chinatown Hub - cicLAvia Heart of LA 2024,10/13/2024,DTLA,Inactive,34.064991,-118.236809
4687,Evergreen Hub - cicLAvia Heart of LA 2024,10/13/2024,DTLA,Inactive,34.043671,-118.200844
4689,University Village (Sepulveda Blvd),10/9/2024,Westside,Active,34.023849,-118.426071
4690,Vineland & Burbank,12/19/2024,North Hollywood,Active,34.172451,-118.370369
4691,CicLAvia West Adams Meets University Park - West Adams Hub,2/23/2025,Westside,Inactive,34.02552,-118.353104
4692,CicLAvia West Adams Meets University Park - West Adams Hub,2/23/2025,Westside,Inactive,34.025532,-118.353104
4693,CicLAvia - Koreatown Temp Station,4/6/2025,DTLA,Inactive,34.061729,-118.293373
4696,Avalon & Slauson,5/17/2025,DTLA,Active,33.98938,-118.264954
4697,Compton & Slauson,5/17/2025,DTLA,Active,33.989498,-118.248001
4698,Figueroa & Slauson,5/17/2025,DTLA,Active,33.989342,-118.282349
4699,Vermont & Slauson,5/17/2025,DTLA,Active,33.9893,-118.291191
4700,Denker & Slauson,5/17/2025,DTLA,Active,33.9893,-118.304199
4702,CicLAmini Pico Union,5/18/2025,DTLA,Inactive,34.04731,-118.29969
4707,Heliotrope & Lily Crest,6/25/2025,DTLA,Active,34.087879,-118.294922
4703,CicLAvia Historic South Central Hub,9/14/2025,DTLA,Inactive,34.02393,-118.250877
4704,CicLAvia Historic South Central - Watts Hub,9/14/2025,DTLA,Inactive,33.937389,-118.254349
4708,CicLAvia Culver City Meets Venice - Arts District Hub,8/17/2025,Westside,Inactive,34.03056,-118.380577
4723,Andalusia & Abbot Kinney,9/10/2025,Westside,Inactive,33.990761,-118.467056
4726,Temporary Union Station West Portal,11/25/2025,DTLA,Inactive,34.057018,-118.237083
4727,Camino Open Streets - City Terrace Park Hub,12/13/2025,DTLA,Inactive,34.048389,-118.179268
4729,Echo Park Pool,12/27/2025,DTLA,Active,34.064171,-118.259262
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
